"X,Y"
"На этой неделе мы попытаемся обыграть рулетку на популярном сайте-рулетке Counter Strike: Global Offensive - CSGOFAST. Для этого мы будем считать чужие деньги писать парсер исследовать данные создавать модели машинного обучения и смотреть мемы.,Программирование; Визуализация данных; Машинное обучение; "
"В преддверии очередного визита к врачу я решила поделиться с вами своим опытом составления табличек приема таблеток в Google Sheets.,таблетки; лекарства; здоровье; Визуализация данных; Инфографика; Здоровье; "
"В сегодняшнем обзоре мы рассмотрим новую версию мобильного приложения для корпоративной видеосвязи TrueConf для Android которое уже скачали более 1.5 млн раз и это самое загружаемое российское приложение для видеосвязи.,мессенджер; видеоконференцсвязь; мобильная разработка; удаленная работа; дизайн приложений; вкс; мессенджеры для командной работы; мобильное рабочее место; Разработка мобильных приложений; Интерфейсы; Разработка систем связи; Видеоконференцсвязь; "
"В преддверии митинга на берегу озера мы решили сделать его удалённым. Сделать это было не так уж и сложно как кажется на первый взгляд.,Видеоконференцсвязь; "
"В преддверии нового этапа работы в WebRTC мы рассмотрим технологию сигналинга. Сигналинг - это самый первый шаг в установлении соединения между двумя узлами (далее буду для точности называть пирами). В ходе сингналинга пиры обмениваются между собой различными опциями и значениями после чего между пирами устанавливается прямая связь без посредников.,протоколы; программирование для начинающих; Программирование; Видеоконференцсвязь; "
"В сегодняшнем обзоре видеобара Jabra PanaCast 50 — устройства все-в-одном где есть камера микрофоны динамики — готовый конференц-зал под ключ. На выходе получается панорамная 4K-картинка 180° на 54° размером 3840х1080 с комфортной частотой 30 кадров в секунду.,оборудование для видеоконференций; оборудование для интеграторов; видеобар; видеоконференции; переговорная комната; конференц-зал; системная интеграция; оборудование для переговорных; Компьютерное железо; Видеотехника; Периферия; Видеоконференцсвязь; "
"В сегодняшнем обзоре мы поговорим о создании нового поколения десктопных приложений для видеосвязи TrueConf и о том как из проджект-команды постпенно превратились в product-отдел.,мессенджер; разработка приложений; философия разработки; вкс; видеоконференции; по для бизнеса; асинхронные коммуникации; Интерфейсы; Видеоконференцсвязь; "
"В сегодняшнем материале мы поговорим о сертификации Huawei HCSA – Intelligent Collaboration (Системы видеоконференцсвязи и коллаборативной работы).,вкс; видеоконференцсвязь; коллаборативные инструменты; коллаборация; сетевые технологии; сетевая инфраструктура; Сетевые технологии; Сетевое оборудование; Видеоконференцсвязь; "
"В рамках конференции InnoPodcast ОЭЗ «Иннополис» разработчики унифицированных коммуникаций рассказали о том почему отечественные продукты не только соответствуют общемировым стандартам но и превосходят по ряду параметров иностранных конкурентов.,вкс; Видеоконференцсвязь; "
"В преддверии празднования Нового года мы решили как организовать дешёвый стриминг медиаданных на миллионы пользователей в режиме реального времени. Для этого мы использовали три протокола: WebRTC HLS MPEG-DASH и WebRTC.,стриминг; потоковое видео; потоковая передача данных; протоколы передачи данных; Работа с видео; Разработка систем связи; Облачные сервисы; Видеоконференцсвязь; "
"В преддверии пандемии Intel представила новую платформу для удаленного управления компьютерами Intel vPro которая позволяет защитить корпоративную инфраструктуру от вирусов-шифровальщиков.,вкс; процессоры; удаленная работа; камеры; техподдержка; автоматизация; Процессоры; Видеоконференцсвязь; Удалённая работа; "
"В сегодняшнем обзоре видеоконференций мы поговорим о камерах Yealink UVC84 которая имеет разрешение 4K 12-кратное оптическое увеличение и беспрецедентные возможности по интеграции.,вкс; автонаведение; камера; переговорные комнаты; видеоконференция; Работа с видео; Видеотехника; Видеоконференцсвязь; "
"IVA MCU - программный сервер ВКС с функционалом унифицированных коммуникаций предназначенный для защищенного взаимодействия через видеосвязь и мессенджер IVA Connect. Система поддерживает быстрые звонки создание виртуальных комнат индивидуальные настройки для мероприятий а также демонстрацию рабочего стола и совместную работу с файлами и документами.,видеоконференции; видеоконференцсвязь; вкс; тестирование; Софт; Видеоконференцсвязь; "
"ВКонтакте запустила групповые видеозвонки. Сперва они вмещали одновременно 128 человек а теперь мы полностью сняли лимиты на число участников. Как устроены Zoom и Clubhouse что взять для своего сервиса звонков из open source как встроить звонки в приложение.,видеоконференцсвязь; звонки; вконтакте; Высокая производительность; Анализ и проектирование систем; Разработка систем связи; Видеоконференцсвязь; "
"Видеоконференция VideoTech 2021 которая пройдёт в онлайне с 1 по 3 декабря будет посвящена WebRTC видеозвонкам ML/AI и всем другим проблемам связанным с видео и стримингом.,видео; кодеки; конференция; видеоконференцсвязь; стриминг; видеотехнологии; Работа с видео; Конференции; Видеотехника; Видеоконференцсвязь; "
"Российский системный администратор который уже несколько лет работает в компании Jitsi рассказал о том как он решил запустить собственный сервер для видеочата.,видеоконферения; аудио-видео; телестудия; системное администрирование; Системное администрирование; Работа с видео; Видеотехника; Видеоконференцсвязь; "
"В сегодняшнем обзоре видеоконференций мы расскажем про аппаратный терминал TrueConf Group — классический кодек который работает на базе протоколов SIP и H.323.,видеоконференцсвязь; терминалы вкс; переговорная комната; аппаратный терминал; импортозамещение; видеотехника; оборудование для интеграторов; Разработка систем связи; Видеотехника; Видеоконференцсвязь; "
"В сегодняшнем обзоре я расскажу о том как устроен рынок роботов телеприсутствия и почему большинство из них так и остались экспериментальными образцами.,робот телеприсутствия; Робототехника; Искусственный интеллект; Интернет вещей; Видеоконференцсвязь; "
"Федеральная антимонопольная служба России (ФАС) приняла решение о нарушении антимонопольного законодательства при многомиллионных закупках в рамках расследования по делу «Лидера российского рынка ВКС поймали на махинациях при закупках Госдумы Росгвардии Минздрава».,картельный сговор; фас; фнс; ип; картель; труконф; сговор; тендер; конкурс; Видеоконференцсвязь; "
"В одной из московских компаний мы решили сделать переговорную комнату для совместной работы чтобы не превращать ее в мучение для сотрудников и клиентов.,переговорные; Видеоконференцсвязь; "
"Российские и зарубежные вендоры и интеграторы заказчики из бизнеса и госструктур проведут масштабную ИТ-конференцию по теме видеосвязи которая пройдет в Москве 25 ноября 2021 года.,видеоконференцсвязь; Москва; ит-конференции; вкс; байкал электроникс; корпоративные коммуникации; видеотехника; Конференции; Видеоконференцсвязь; "
"Российский эксперт по ВКС Александр Паринов рассказал о том почему мы сделали MCU-сервер для видеоконференций и чем он отличается от традиционных аппаратных транскодирующих серверов.,видеоконференции; видеоконференцсвязь; вкс; терминал видеосвязи; Разработка систем связи; Видеоконференцсвязь; Удалённая работа; "
"В сегодняшнем уроке я расскажу о том как я реализовал полноценные переменные в Haskell. Для тех кто не знает синтаксис и его особенностей я расскажу как это работает.,переменные; монады; состояние; Функциональное программирование; "
"В сегодняшнем посте мы поговорим про функциональные языки программирования которые используются в различных индустриальных отраслях.,фп; функциональное программирование; хаскель; хаскелл; языки программирования; Программирование; Функциональное программирование; "
"В этой статье я расскажу как сделать функциональные компоненты в реакте чуть более функциональными а именно как сделать каррирование функционального компонента.,функциональный компонент; хуки; каррирование; Программирование; Функциональное программирование; "
"В сегодняшнем обзоре я расскажу об одном из самых интересных и популярных языков программирования – мульти-парадигменном языке программирования общего назначения Ficus/Фикус.,языки программирования; компиляторы; компьютерное зрение; Компиляторы; Функциональное программирование; Искусственный интеллект; "
"В этой заметке я расскажу о том как вычислить функцию которая зовётся вопросительным знаком Минковского.,Функция Минковского; бинарное дерево; гомоморфизм; двоично-рациональные числа; Занимательные задачки; Математика; Функциональное программирование; "
"Исключения – это скрытые инструкции goto которые в целом считаются порочными. Всякий раз когда происходит исключение поток программы нарушается. Вы приземляетесь на каком-то неизвестном отрезке цепи вызовов повышается вероятность что вы забудете рассмотреть все возможные сценарии.,функции; обработка исключений; ооп; интерфейсы; Программирование; Функциональное программирование; "
"Российский программист Владимир Гладштейн рассказал о том как работает алгоритм нового модел-чекера для поиска багов в многопоточном коде.,многопоточность; спбгу; баги; Алгоритмы; Функциональное программирование; "
"В сегодняшнем посте мы поговорим о том как функциональное программирование влияет на развитие других языков программирования.,фп; функциональное программирование; яп; языки программирования; парадигмы; парадигмы программирования; Программирование; Функциональное программирование; "
"Облачные сервисы уже давно стали неотъемлемой частью нашей жизни. На данный момент существует большое количество сервисов которые можно использовать для создания облачной системы.,Разработка веб-сайтов; Функциональное программирование; Облачные сервисы; "
"В сегодняшнем обзоре мы рассмотрим несколько популярных инструментов которые написаны на одном из самых популярных языков программирования — Haskell.,фп; функциональное программирование; хаскель; Программирование; Функциональное программирование; "
"В сегодняшнем обзоре я расскажу о том как создать библиотеку позволяющую обрабатывать сложные примитивы (конверсии) для обработки данных.,Программирование; Функциональное программирование; "
"В сегодняшнем обзоре я расскажу о том как реализовать логический макрос в программном языке Nemerle.,Ненормальное программирование; Функциональное программирование; "
"В этой статье я расскажу о том как написать компилятор на основе LLVM о том какие ошибки я нашел в этом языке а также о том что я узнал о Haskell в ходе написания этого языка.,компиляторы; компиляция; ассемблер; функциональное программирование; сделай сам; парсинг; Компиляторы; Функциональное программирование; "
"В сегодняшнем обзоре я расскажу о том что такое каррирование функций и как его можно использовать на практике.,ооп; функциональное программирование; программирование; мобильная разработка; Программирование; Разработка мобильных приложений; Функциональное программирование; "
"В сегодняшнем посте мы рассмотрим один из самых известных и популярных функциональных языков программирования — Лисп. В этом посте мы не будем углубляться во вклад Лиспа в теорию а сосредоточимся на практической пользе этого языка.,лисп; фп; функциональное программирование; Программирование; Функциональное программирование; "
"В сегодняшнем обзоре я расскажу о том как можно использовать дисклеймер на Scala.,функциональное программирование; Функциональное программирование; "
"В сегодняшнем обзоре я расскажу о том как мы сделали автодополнение систему сборки интерпретатор и систему типов в IntelliJ IDEA.,языковой плагин; автодополнение; переименование; система сборки; компиляция; вшэ спб; Совершенный код; Функциональное программирование; "
"В этом посте мы расскажем как реализовывали плагин для поддержки функционального языка Frege в IntelliJ IDEA.,языковой плагин; лексер; парсер; навигация; вшэ спб; Совершенный код; Функциональное программирование; "
"В сегодняшнем уроке мы рассмотрим валидацию примитивных типов данных которые могут быть некорректными для пользователя или компилятора.,Функциональное программирование; "
"В сегодняшнем посте я расскажу о том как можно навязать иммутабельность в кодовую базу на архитектурном уровне.,программирование; проектирование; рефакторинг; функциональное программирование; иммутабельность; Программирование; Анализ и проектирование систем; Совершенный код; Проектирование и рефакторинг; Функциональное программирование; "
"В сегодняшнем обзоре я расскажу как реализовать автоматическую публикацию npm пакета в cicd gitlab с помощью каких инструментов мы генерируем CHANGELOG файл и обновляем версию package.json. А так же как публикуем изменения в gitlab репозитории.,Программирование; "
"Удаленный репозиторий – один из самых популярных инструментов распределенной разработки с помощью Git. Он позволяет оперативно вносить изменения не мешая другим и отслеживать прогресс коллег.,разработка; контроль версий; управление изменениями; командная работа; репозиторий; Анализ и проектирование систем; Инженерные системы; "
"В Skyscanner произошёл глобальный сбой из-за неверных изменений в шаблоне системы конфигурирования инфраструктуры. Это привело к удалению всех микросервисов которые обслуживали skyscanner.net а также отвечали за данные мобильного приложения. К старту курса по DevOps в рамках подготовки к более широким изменениям инженер изменил шаблон системы. Это изменение не должно было повлиять на поведение.,программирование; инфраструктура; инфраструктура как код; ошибки; архитектура; регионы; Программирование; "
"В сегодняшнем обзоре мы рассмотрим одну из самых популярных уязвимостей в системе GitLab которая может быть использована для атаки на целевую систему.,"
"Сканирование безопасности инфраструктуры как кода групповые настройки подтверждения мерж-реквестов GitLab Kubernetes Agent для бесплатных планов темы проектов и многое другое — что выходит в GitLab в этом месяце.,Системы управления версиями; Системы сборки; "
"Проверка кода (code review) — отличный инструмент для повышения качества кода но он не учитывает один факт: отправляют и просматривают код люди а они устают теряют сосредоточенность ленятся да и просто испытывают эмоции в самые неожиданные моменты.,карьера программиста; код ревью; Совершенный код; Управление разработкой; "
"В сегодняшнем обзоре я расскажу про git bisect инструмент который помогает найти момент когда появился баг.,Разработка веб-сайтов; Программирование; Разработка мобильных приложений; "
"В преддверии урока по Fullstack-разработке на Python я решил провести бенчмарк по Git и сравнил результаты его работы с бенчмарком git ls-files.,бенчмарк; производительность; тесты производительности; тесты; Программирование; Системы управления версиями; "
"В этой статье мы рассмотрим как настроить реестр образов GitLab Container Registry находящийся за обратным прокси сервером NGINX. Предполагается что у вас уже установлен GitLab с помощью пакета Omnibus.,"
"В сегодняшнем обзоре мы расскажем о том как мы научились работать с хранимыми процедурами функциями и представлениями которые используют наши приложения для интеграции данных с другими системами.,"
"В сегодняшнем обзоре я расскажу о том как можно использовать git-pw для сохранения патчей из maillists.,"
"В сегодняшнем обзоре я расскажу о том как устроена одна из самых популярных систем контроля версий - Git.,начинающим; "
"В преддверии релиза GitLab 14.4 компания GitLab представила более 30 улучшений которые позволят повысить безопасность ваших приложений. Среди них — запуск DAST-сканирований по расписанию отслеживание ошибок без использования отдельного инстанса Sentry просмотр удалённых GitLab-репозиториев в Visual Studio Code график динамики внедрения DevOps GitLab Operator в общем доступе и многое другое.,Системы управления версиями; Системы сборки; "
"В сегодняшнем обзоре мы рассмотрим распределенную систему управления версиями проекта Git которая позволяет делать ветвистую структуру проекта.,основы; для начинающих; для новичков; для чайников; быстро; кратко; "
"Развёртывание в Kubernetes из GitLab создание конвейера для развертывания приложения в GCP и создание CI/CD конвейера в GitLab — что мы рассмотрим в этой статье.,Управление разработкой; "
"В интервью российскому изданию Habr'e технический директор проекта GitHub Максим Козлов рассказал о том почему ему нравится хранилище кода в России почему он не будет блокироваться на зарубежных серверах а также поделился своим мнением о том что нужно сделать для того чтобы российским программистам было удобно работать на этой платформе.,российское по; Системы управления версиями; Интервью; "
"В этой статье я расскажу о том что нужно сделать чтобы за полгода стать backend-разработчиком в Python.,веб-разработчик; трудоустройство; "
"В этой статье я расскажу о Git hooks и о том как они могут помочь с некоторыми насущными кейсами организации создания commit’ов и commit message. Пост основан на реальном опыте из моей практики: как я упрощал то что всем надоело делать руками.,системы контроля версий; системы управления версиями; Программирование; Системы управления версиями; "
"В релизе GitLab 14.3 появились новые правила запуска сканирований безопасности для проектов которые позволят не допустить ложных срабатываний в Ruby установкой разрешений для защищённых окружений на уровне группы групповым доступом к GitLab Kubernetes Agent и многим другим.,Системы управления версиями; Системы сборки; "
"В сегодняшнем обзоре я расскажу о том как устроена система контроля версий Git.,"
"В сегодняшнем обзоре мы рассмотрим инструмент для управления сетевой подсистемой ОС Debian - фреймворк nftables который предоставляет возможность фильтрации и трансляции сетевых данных внутри операционной системы.,Информационная безопасность; "
"В сегодняшнем обзоре мы рассмотрим как установить централизованное логирование событий на основе Graylog версии 4.2.1 (на момент написания статьи).,Системное администрирование; "
"В сегодняшнем обзоре мы рассмотрим одну из самых популярных команд Linux — команду find. Она позволяет найти файлы и папки в текущем расположении. При этом она имеет более 50 опций в которых легко запутаться особенно в сочетании с командами exec или xargs.,команды; линукс; Системное администрирование; "
"В сегодняшнем обзоре я расскажу о том как создать кластер с 4 виртуальными дисками в вашем гипервизоре.,системное администрирование; Системное администрирование; "
"Приветствую всех habr'овчан. Хочу рассказать о том как я сделал некий «сервер» для своего сайта.,Хостинг; "
"В одном из московских офисов произошла небольшая проблема — вышел из строя сервер АТС на базе FreePBX. Заказчику было предложено отремонтировать его или собрать заново.,Системное администрирование; "
"В сегодняшнем материале мы рассмотрим пространство имен в операционной системе Linux а также рассмотрим как создать полностью изолированную среду для каждого процесса.,контейнеризация; Системное администрирование; "
"В преддверии нового года gentoo перестает поддерживать eudev. В связи с этим я решил попробовать mdev.,"
"В преддверии новогодних праздников мы собрали для вас полезные материалы которые помогут получить практический опыт подготовиться к сертификации или оценить насколько тот или иной продукт подходит вашей организации.,Системное администрирование; Виртуализация; "
"В сегодняшнем обзоре я расскажу о том как установить Arch Linux на свой Baikal-M.,процессор; Процессоры; "
"В сегодняшнем обзоре я расскажу о том как работать с Wireshark в режиме реального времени.,Сетевые технологии; "
"В сегодняшнем обзоре я расскажу про один из самых популярных инструментов для шифрования секретов - Mozilla Sops.,спасибо за чтение; Информационная безопасность; Системное администрирование; "
"В сегодняшнем руководстве мы рассмотрим процесс установки Zabbix версии 5.4-1 на Ubuntu Server 20.04. В этом руководстве речь пойдет о том как подключиться к серверу по протоколу SSH.,Системное администрирование; Серверное администрирование; "
"В сегодняшнем обзоре мы рассмотрим что такое пространство имен и как они работают в Linux а также рассмотрим как создать собственный изолированный контейнер.,пространства имен; Системное администрирование; "
"Группа исследователей обнаружила несколько уязвимостей влияющих на libVNCClient в Linux. В некоторых широко используемых средах рабочего стола (например Gnome) эти уязвимости можно эксплуатировать одним кликом мыши.,Информационная безопасность; Системное администрирование; Серверное администрирование; "
"Российский инженер-программист который работает в команде Red Hat занимающейся SELinux нашел устранил и закоммитил ряд недоработок в этой операционной системе.,Виртуализация; Серверная оптимизация; "
"В сегодняшнем обзоре мы рассмотрим как установить КОМПАС-3D на операционную систему Ubuntu Astra Linux и «Альт».,линукс; ред ос; Системное администрирование; "
"В этой статье мы рассмотрим как настроить реестр образов GitLab Container Registry находящийся за обратным прокси сервером NGINX. Предполагается что у вас уже установлен GitLab с помощью пакета Omnibus.,"
"В сегодняшнем обзоре мы рассмотрим как получить путь к команде Linux которую только что установили в систему с помощью пакетного менеджера например команды apt или DNF.,команды линукс; терминал; Системное администрирование; "
"В системе SystemD есть режим гибернации который выполняет гибернацию (режим сна) через указанное время после простоя в ждущем режиме. Настроим подобный режим только с автоматическим выключением ноутбука при длительном нахождении в гибернационном режиме.,"
"В сегодняшнем обзоре мы рассмотрим кросс-компиляцию с Clang которая позволяет получить самый последний стандарт на уровне компилятора а линковаться при этом с древней std-либой чего gcc в свою очередь не позволяет.,Программирование; Системы сборки; "
"В сегодняшнем обзоре мы рассмотрим один из самых популярных вспомогательных shell-скриптов — Makeure. Это инструмент который может работать с файлом Makesurefile такого вида: @goal downloaded @doc downloads code archive @reached_if [[ -f code.tar.gz ]] wget.,системы сборки; Программирование; Проектирование и рефакторинг; Системы сборки; "
"В сегодняшнем обзоре я расскажу о том как устроена сборка программ для IBM i.,Программирование; Системы сборки; "
"В этой статье мы рассмотрим как с помощью Open Source-утилиты werf собрать Docker-образ простейшего приложения и развернуть его в кластере Kubernetes а также с легкостью накатывать изменения в его коде и инфраструктуре.,Системы сборки; "
"В сегодняшнем обзоре я расскажу о том как настроить Jenkins в облаке. Для этого я расскажу как создать виртуальную машину которая будет подключаться к любому OpenStack-облаку создавать и настраивать в нем виртуальные машины и загрузить SSH-ключ для подключения к виртуальной машине.,облако; Облачные вычисления; Системы сборки; "
"Сканирование безопасности инфраструктуры как кода групповые настройки подтверждения мерж-реквестов GitLab Kubernetes Agent для бесплатных планов темы проектов и многое другое — что выходит в GitLab в этом месяце.,Системы управления версиями; Системы сборки; "
"В сегодняшнем обзоре я расскажу о том как мы управляем инфраструктурой SberCloud.Advanced и расскажу об инструменте для сontinuous deployment (CD) в Kubernetes — Helmwave.,облачный провайдер; миграция в облако; Высокая производительность; Системы сборки; "
"werf — CLI-инструмент с открытым кодом для консистентной сборки и доставки приложений в Kubernetes который может использоваться для организации полного цикла CI/CD.,Флант; Системы сборки; "
"В Страховом Доме ВСК мы хотим рассказать о своей платформе автоматизации «Марлин» и о том как она работает в компании.,вск; микросервисы; платформа; автоматизация; Системы сборки; Микросервисы; "
"В сегодняшнем обзоре я расскажу о том как собрать программу на C/C++ через кросс-компиляцию.,Системы сборки; "
"В преддверии релиза GitLab 14.4 компания GitLab представила более 30 улучшений которые позволят повысить безопасность ваших приложений. Среди них — запуск DAST-сканирований по расписанию отслеживание ошибок без использования отдельного инстанса Sentry просмотр удалённых GitLab-репозиториев в Visual Studio Code график динамики внедрения DevOps GitLab Operator в общем доступе и многое другое.,Системы управления версиями; Системы сборки; "
"В сегодняшнем обзоре мы рассмотрим один из самых популярных командлетов - PowerShell. Его синтаксис практически идентичен синтаксису языка C#.,Системы сборки; "
"В сегодняшнем посте я расскажу о том как я научился компилировать Java на Android Studio и почему Skija и JWM сделаны с помощью скриптов Python вместо более традиционных Ant/Maven/Gradle/SBT.,Системы сборки; "
"В этой статье я постараюсь рассказать как я реализовал автоматическую генерацию Changelog из коммитов и создание тегов на их основе.,автоматизация; Системы управления версиями; Системы сборки; "
"В сегодняшнем обзоре мы рассмотрим способы ускорения компоновки проектов на C++. В первую очередь речь пойдет о распределённой сборке проекта Renga.,распределённая сборка; кэш; препроцессор; сборка проекта; Промышленное программирование; Системы сборки; "
"В релизе GitLab 14.3 появились новые правила запуска сканирований безопасности для проектов которые позволят не допустить ложных срабатываний в Ruby установкой разрешений для защищённых окружений на уровне группы групповым доступом к GitLab Kubernetes Agent и многим другим.,Системы управления версиями; Системы сборки; "
